"activityId"	"subjectId"	"timeBodyAccMagnitudeMean"	"timeBodyAccMagnitudeStdDev"	"timeGravityAccMagnitudeMean"	"timeGravityAccMagnitudeStdDev"	"timeBodyAccJerkMagnitudeMean"	"timeBodyAccJerkMagnitudeStdDev"	"timeBodyGyroMagnitudeMean"	"timeBodyGyroMagnitudeStdDev"	"timeBodyGyroJerkMagnitudeMean"	"timeBodyGyroJerkMagnitudeStdDev"	"freqBodyAccMagnitudeMean"	"freqBodyAccMagnitudeStdDev"	"freqBodyAccJerkMagnitudeMean"	"freqBodyAccJerkMagnitudeStdDev"	"freqBodyGyroMagnitudeMean"	"freqBodyGyroMagnitudeStdDev"	"freqBodyGyroJerkMagnitudeMean"	"freqBodyGyroJerkMagnitudeStdDev"	"activityType"
1	1	-0.0715513643377895	-0.136971176556842	0.0817513038861053	-0.136971176556842	0.0817513038861053	-0.141428809031579	0.204177664192316	-0.160979552536842	-0.18978924212	-0.298703679084211	-0.919419408	-0.128623450629474	-0.835079617894737	-0.0571194000343158	-0.47802531782	-0.199252568986316	-0.540829011921053	-0.319308593778947	NA
1	10	-0.139183141733962	-0.127400912069811	-0.111562641045075	-0.127400912069811	-0.111562641045075	-0.132624992298283	0.264758168075509	-0.156458730358491	0.0932161988773585	-0.440363636603774	-0.896339273018868	-0.0930237422792453	-0.820531587924528	0.0205189516981132	-0.547734172264151	-0.412616909622642	-0.828828299622641	-0.515065335849057	NA
1	8	0.0748100397520833	0.0516786278104167	-0.12289699009375	0.0516786278104167	-0.12289699009375	-0.0668322430433333	-0.326515998729167	-0.00310243820125	-0.00825722199375	-0.339129269583333	-0.95374412375	-0.09521728274375	-0.788114425	-0.123834409766667	-0.7236211375	-0.301241848645833	-0.475441646154167	-0.473026230833333	NA
1	17	-0.158671703336066	-0.151151487704918	-0.0368323994278689	-0.151151487704918	-0.0368323994278689	-0.301093269180328	0.0307825180639344	-0.335009836885246	-0.0468879787295082	-0.517167440655738	-0.965657490819672	-0.429380043442623	-0.756299793278689	-0.335938891803279	0.096602355204918	-0.518618058688525	-0.747645121967213	-0.582711859672131	NA
1	15	-0.00220493297592592	-0.186514650759259	-0.00904811165518519	-0.186514650759259	-0.00904811165518519	-0.320129322962963	0.1283642829	-0.243711124444444	-0.0534220863612778	-0.543979500555556	-0.967123632407407	-0.275156242062037	-0.807969134259259	-0.289753952407407	-0.644781682314815	-0.489166383703704	-0.745480024074074	-0.645075178148148	NA
1	4	0.014649788853	-0.312050574166667	-0.0678893910871667	-0.312050574166667	-0.0678893910871667	-0.366700879833333	0.065126777955	-0.49779220106	0.152922233035	-0.6813040365	-0.951049456166667	-0.450804558333333	-0.789538995166667	-0.318587811	-0.168424087315	-0.609285588016667	-0.585590468333333	-0.724327420666667	NA
1	2	-0.233432734305085	-0.290407593728814	0.176396531827119	-0.290407593728814	0.176396531827119	-0.281424153881356	0.376830517220339	-0.446549092881356	-0.0111708590067797	-0.547911950338983	-0.894181102542373	-0.324289427932203	-0.764651062881356	-0.169064352813559	-0.368754340508475	-0.530704814745763	-0.816468687627119	-0.583249293389831	NA
1	11	-0.0377975853945763	-0.288323472033898	0.226767676220339	-0.288323472033898	0.226767676220339	-0.402333202033898	0.0653130465271186	-0.421801673559322	0.00429279260169492	-0.63073270559322	-0.972789953220339	-0.458514062542373	-0.781842657457627	-0.395116134237288	-0.479202107667797	-0.610222628813559	-0.727974020355932	-0.751914457457627	NA
1	9	0.156673064403846	-0.0980840496143461	0.000811984626923077	-0.0980840496143461	0.000811984626923077	-0.203733615519231	-0.0645859088288462	-0.294542266826923	-0.277710785192308	-0.510253995769231	-0.951322497307692	-0.318801022711538	-0.772993254038462	-0.316870715576923	-0.0195931503596154	-0.513797480384615	-0.670427065730769	-0.602581618269231	NA
1	18	0.165249638428571	-0.287908078035714	0.0434363501785714	-0.287908078035714	0.0434363501785714	-0.379269262142857	0.115628821846429	-0.500471147857143	-0.0326847932107143	-0.636485896964286	-0.986178578035714	-0.424386734107143	-0.699915087178571	-0.41403775125	-0.462064340535714	-0.620331394285714	-0.779858535714286	-0.710596311071429	NA
